epoch,train_loss,test_loss,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5
0,5.220003,88.00703,8.710665,21.552979,0.13586956,0.5594629
1,4.069913,40.654903,20.732471,41.658577,0.13986573,0.6373881
2,3.6726506,24.084194,26.387405,48.94967,0.12620193,0.60697114
3,3.451648,14.545103,29.801449,52.97429,0.12188299,0.95308506
4,3.317446,13.1401825,31.939917,55.4191,0.12987532,1.3307225
5,3.234657,11.138015,33.348682,56.850723,0.26241988,1.5905448
6,3.170614,8.609517,34.392956,57.95676,1.2827685,4.4557223
7,3.130062,7.486527,35.095684,58.724712,2.0252404,7.477965
8,3.0976923,7.2320714,35.667225,59.2385,2.783328,8.971388
9,3.0732734,6.302172,36.140152,59.7038,5.276934,15.425192
10,3.0559118,6.089087,36.39751,60.063763,7.4939904,19.951923
11,3.041671,5.1481647,36.632725,60.230408,11.704763,27.839273
12,3.029758,4.56377,36.828953,60.458447,16.5621,36.05339
13,3.0225859,4.3339534,36.989315,60.585358,18.735977,39.146633
14,3.0206542,3.9188223,36.9948,60.64006,23.329603,45.66416
15,3.0167842,3.9401572,37.084003,60.638603,23.11298,45.584934
16,3.0138369,3.4810853,37.110546,60.703747,29.09407,53.526615
17,3.0126407,3.337097,37.113823,60.763767,31.188059,55.70852
18,3.0145416,3.2738576,37.2139,60.693394,32.09335,56.951122
19,3.0104704,3.002078,37.24018,60.82425,36.36509,61.53093
20,3.0074635,2.9780958,37.2929,60.876923,37.00048,62.090393
21,3.008132,2.8461862,37.34414,60.866085,39.098557,64.22877
22,3.0046072,2.8365617,37.414913,60.905964,39.186382,64.53205
23,3.0057023,2.793748,37.359047,60.92548,39.97596,65.16426
24,2.9967535,2.7969856,37.504215,60.98208,39.755833,65.17143
25,2.9969745,2.7398217,37.54027,61.094376,40.97067,66.132515
26,2.9921558,2.7126577,37.539024,61.15322,41.56851,66.458336
27,2.9884562,2.680301,37.64512,61.182774,41.919758,67.25943
28,2.9828267,2.6740427,37.740307,61.299324,42.19949,67.24145
29,2.9787,2.663527,37.88118,61.42953,42.227566,67.34375
30,2.9720352,2.679067,37.952282,61.4516,42.051632,67.271416
31,2.9673128,2.639236,38.078133,61.536945,42.890625,67.760414
32,2.9646726,2.6336915,38.108063,61.584976,42.922794,67.862854
33,2.9571323,2.6626894,38.257675,61.770195,42.397297,67.54316
34,2.9515545,2.6272223,38.306927,61.86454,42.85457,67.94672
35,2.9460382,2.6092432,38.407375,61.942047,43.40833,68.16456
36,2.9420884,2.592925,38.50201,62.062923,43.534206,68.41632
37,2.9348507,2.5964203,38.628403,62.15628,43.503605,68.64183
38,2.9338799,2.5859416,38.668518,62.18705,43.748,68.742004
39,2.9261262,2.59234,38.78645,62.265472,43.627804,68.645836
40,2.9242105,2.5951788,38.803802,62.325764,43.546196,68.46227
41,2.918356,2.569791,38.9121,62.40291,43.92983,68.93582
42,2.9171395,2.576072,38.950424,62.410248,43.697918,68.95633
43,2.9089124,2.5571432,39.10036,62.60351,44.29148,69.21955
44,2.9029448,2.5619829,39.20002,62.70768,44.10566,69.001755
45,2.9009752,2.559611,39.23533,62.723644,44.088543,69.108574
46,2.8966858,2.5375934,39.33785,62.77465,44.669117,69.37141
47,2.8925242,2.552965,39.41706,62.90374,44.44912,69.375
48,2.8860846,2.5315893,39.53375,62.987167,44.725063,69.449326
49,2.8845174,2.536636,39.542427,63.031837,44.621162,69.49928
50,2.8804893,2.5347712,39.640984,63.0756,44.9379,69.47316
51,2.8768582,2.5326016,39.69593,63.15521,44.78101,69.497284
52,2.8722193,2.5132,39.753277,63.201626,45.234573,69.878914
53,2.8673265,2.517872,39.865524,63.316685,44.901844,69.79367
54,2.8657053,2.5292466,39.87716,63.37883,44.61117,69.59319
55,2.861418,2.5079367,39.933193,63.379276,45.104168,69.90986
56,2.85758,2.532031,40.0272,63.47141,44.76902,69.80099
57,2.85438,2.5065637,40.080467,63.514767,45.23058,69.850945
58,2.8492732,2.5047007,40.131176,63.633625,45.00601,69.98598
59,2.847044,2.5032825,40.225636,63.65673,45.03277,70.17264
60,2.8441372,2.4890769,40.289944,63.73439,45.450367,70.23857
61,2.8402393,2.494881,40.332188,63.789124,45.360577,70.20633
62,2.8395917,2.4810152,40.40093,63.77825,45.74209,70.42239
63,2.8335817,2.4996722,40.476913,63.892323,45.552883,70.23638
64,2.8295019,2.4795737,40.559597,63.983204,45.784046,70.26255
65,2.82921,2.4777021,40.587376,63.91894,45.56426,70.47234
66,2.8247247,2.4749258,40.65895,64.02972,45.52484,70.47476
67,2.8216038,2.466733,40.700565,64.11683,45.86397,70.67815
68,2.8180017,2.4842496,40.709915,64.10043,45.518303,70.43239
69,2.815025,2.4757435,40.79803,64.25036,45.767227,70.42869
