epoch,train_loss,test_loss,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5
0,4.460851,55.746147,16.644606,34.77663,0.12388107,0.5554668
1,3.3317623,50.018387,31.324144,55.115665,0.10190217,0.513507
2,3.0037081,30.786072,36.764885,60.871227,0.10016026,0.536859
3,2.830879,19.532928,39.77023,63.856693,0.29171994,1.074968
4,2.730296,14.942096,41.603123,65.651306,0.6373881,2.2578325
5,2.668098,12.970762,42.786667,66.62494,1.1638622,3.8842146
6,2.6218424,7.7460904,43.636574,67.44136,4.609575,13.111413
7,2.5908203,7.321624,44.221012,67.9234,6.5885415,17.283653
8,2.5668683,4.781087,44.714737,68.37194,16.660006,35.913525
9,2.547702,3.9496462,45.09931,68.69466,25.149857,47.892025
10,2.534106,3.4861166,45.310158,68.9377,29.711538,54.258816
11,2.5215037,3.3655543,45.50711,69.09074,31.569693,56.040203
12,2.509202,2.9402902,45.798107,69.335976,37.755756,63.247284
13,2.5031905,2.7140105,45.91085,69.41666,41.09375,66.44031
14,2.5003767,2.5744326,45.966534,69.540146,43.847904,68.99976
15,2.4926362,2.5331278,46.103428,69.5624,44.44912,69.370995
16,2.4859848,2.5204623,46.229397,69.68976,44.743046,69.74704
17,2.4829316,2.4847064,46.27919,69.753685,45.214596,70.50232
18,2.4796355,2.3878508,46.38992,69.81313,46.951122,72.05529
19,2.4734037,2.333986,46.465645,69.938576,47.412483,72.836075
20,2.4676347,2.2810183,46.586323,69.995804,48.787163,73.54939
21,2.4613655,2.261226,46.708057,70.15508,49.182693,74.03646
22,2.4573014,2.25755,46.843853,70.21805,49.49848,74.10286
23,2.454038,2.2633004,46.874924,70.27988,49.166668,73.98638
24,2.4442525,2.1995442,47.094513,70.38151,50.42959,75.177826
25,2.440262,2.1687844,47.15277,70.46844,51.108936,75.341675
26,2.4337392,2.152184,47.263363,70.57342,51.30008,75.81931
27,2.4277425,2.1602714,47.44275,70.68689,51.286766,75.605415
28,2.4201007,2.129145,47.532856,70.8081,51.608456,76.098946
29,2.415514,2.1247184,47.63096,70.91834,51.6246,76.09174
30,2.4068704,2.112653,47.81414,71.00923,51.936142,76.41464
31,2.402247,2.1092281,47.93064,71.13387,52.395832,76.46434
32,2.3976197,2.096008,48.041176,71.23751,52.477623,76.576485
33,2.3902948,2.0813665,48.159286,71.30178,52.77334,76.73434
34,2.3829548,2.078716,48.329483,71.44777,52.816505,77.02123
35,2.3758266,2.0653093,48.39364,71.57335,53.318813,77.11397
36,2.3702831,2.0497587,48.54819,71.647446,53.202927,77.32777
37,2.362953,2.0750358,48.6533,71.77908,52.97476,76.870995
38,2.3607633,2.0593727,48.779415,71.81622,53.430706,77.32777
39,2.3536332,2.0543087,48.875267,71.90754,53.379406,77.011215
40,2.3491256,2.0428174,48.97855,72.01902,53.66648,77.381714
41,2.341731,2.0356736,49.13173,72.1363,53.892265,77.569534
42,2.3379457,2.0259378,49.161854,72.18587,53.796074,77.65024
43,2.3291643,2.0155385,49.36348,72.36898,53.91624,77.69341
44,2.323014,2.004005,49.534683,72.4602,54.317856,78.119
45,2.3191507,2.0127664,49.568314,72.50957,54.240784,77.88662
46,2.3134274,1.993895,49.66783,72.56844,54.545635,78.232895
47,2.3095155,1.9999001,49.827637,72.71347,54.39503,78.16907
48,2.3021176,1.9851078,49.936,72.78136,54.76742,78.3388
49,2.2960885,1.9927139,50.04301,72.925644,54.337837,78.204926
50,2.293808,1.9861444,50.12152,72.93925,54.651443,78.24119
51,2.2874355,1.9859806,50.2453,73.06405,54.789402,78.50464
52,2.2830832,1.9755576,50.330593,73.08879,54.76143,78.400734
53,2.2770317,1.9788967,50.429337,73.204994,54.79367,78.31731
54,2.272828,1.9610269,50.514668,73.30729,54.981216,78.536606
55,2.2673757,1.9656258,50.615635,73.36523,54.723557,78.63582
56,2.263895,1.9526527,50.73176,73.448044,55.514706,78.72243
57,2.258851,1.9599504,50.806538,73.50251,55.175034,78.58456
58,2.2530484,1.9526746,50.854237,73.65646,55.140224,78.83414
59,2.2484043,1.9397829,51.025772,73.67983,55.424793,79.33584
60,2.2448285,1.9315201,51.107407,73.748825,55.782448,79.173996
61,2.239045,1.9400706,51.247753,73.82219,55.588943,79.0625
62,2.2354639,1.9266863,51.333668,73.93107,55.92831,79.21795
63,2.2303646,1.935759,51.469685,74.00931,55.484776,79.010414
64,2.2235675,1.9323715,51.555786,74.138985,55.650574,79.09807
65,2.2220018,1.904487,51.621593,74.1054,56.16408,79.46971
66,2.216458,1.9040186,51.743256,74.23936,56.3121,79.50521
67,2.2094254,1.9036505,51.853985,74.3488,56.32193,79.41776
68,2.2062688,1.9060615,51.89857,74.350334,56.17607,79.533646
69,2.2001772,1.8961793,52.081043,74.47506,56.45633,79.60336
70,2.1947594,1.8900735,52.206436,74.57081,56.60166,79.73146
71,2.189596,1.881814,52.27382,74.72021,56.76082,79.98397
72,2.1835153,1.8739982,52.402065,74.78025,56.83144,79.90529
73,2.176672,1.8709446,52.53372,74.870445,56.913364,80.06714
74,2.1736307,1.867751,52.590427,74.948555,57.16346,80.37059
75,2.1671262,1.868159,52.7748,75.08975,56.905373,80.03117
76,2.1604931,1.8584894,52.888912,75.12214,57.324966,80.03117
77,2.1537185,1.8510091,53.01595,75.29484,57.36378,80.308495
78,2.1461375,1.8384426,53.18861,75.434494,57.64466,80.49473
79,2.1375413,1.8343006,53.360825,75.49273,57.620193,80.53486
