epoch,train_loss,test_loss,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5
0,4.4625974,65.26926,16.76714,34.84968,0.11389066,0.5075128
1,3.2810893,36.208267,32.251575,56.08813,0.12188299,0.6054188
2,2.9390514,27.277016,38.038242,62.032562,0.1201923,0.5989583
3,2.7577977,18.759895,41.305958,65.17841,0.20780051,0.8272059
4,2.6511014,16.541674,43.27491,67.01084,0.16384271,1.3546995
5,2.5854633,12.372667,44.509007,68.10299,0.625,2.411859
6,2.5350208,7.7572865,45.498444,68.971146,3.5445971,9.836556
7,2.5010507,7.1922994,46.155876,69.49574,5.4346957,14.196714
8,2.4746213,5.1457996,46.639378,69.9833,14.8257675,32.157127
9,2.455222,4.4222,46.997246,70.29713,20.27254,41.316338
10,2.4413886,3.7137203,47.34773,70.524086,27.544071,50.58093
11,2.4275212,3.242463,47.553833,70.78306,32.69661,57.580723
12,2.416656,2.8974557,47.804382,70.91268,38.205322,63.535007
13,2.4107873,2.6877398,47.918854,71.042465,41.806892,66.844955
14,2.4078665,2.5193484,47.96235,71.08353,44.303467,69.633156
15,2.3998964,2.454719,48.15421,71.203896,45.809296,70.87941
16,2.3978782,2.3690424,48.148884,71.23353,47.378517,72.04484
17,2.3959305,2.2877784,48.237152,71.27061,49.160805,73.4355
18,2.3920753,2.3092015,48.33032,71.32381,48.501602,73.277245
19,2.3884156,2.250364,48.408077,71.42115,49.670315,74.17879
20,2.3825243,2.2131124,48.483868,71.52325,50.287724,74.724266
21,2.379653,2.179741,48.54989,71.568275,50.977566,75.29447
22,2.374692,2.1264997,48.694405,71.63785,52.07201,76.172874
23,2.3723893,2.1278274,48.717922,71.6777,51.883015,76.05569
24,2.3629882,2.0833323,48.868797,71.79405,52.737373,76.814255
25,2.3604448,2.123286,48.978367,71.839645,52.193893,76.23082
26,2.3548927,2.0732505,49.04221,71.94399,53.0008,76.91306
27,2.3488045,2.0685315,49.171288,72.06282,53.246883,77.05203
28,2.3420026,2.0591915,49.32068,72.15558,53.05107,77.12796
29,2.3364427,2.0477278,49.40969,72.25212,53.723957,77.41586
30,2.3298013,2.0370076,49.55482,72.3706,53.754395,77.3917
31,2.324857,2.0051672,49.711716,72.45992,54.43109,77.840546
32,2.3198583,2.0025296,49.76555,72.542305,54.451725,77.92719
33,2.3146346,1.9950341,49.91733,72.63276,54.589596,78.089035
34,2.3058937,1.9934616,50.018967,72.8317,54.591347,78.27123
35,2.2999105,1.9957255,50.133305,72.8829,54.379795,78.03309
36,2.2969623,1.9758452,50.206867,72.94883,55.025177,78.608536
37,2.2897146,1.9916395,50.360577,73.01098,54.577324,78.219154
38,2.2863195,1.9780858,50.44316,73.15186,54.62356,78.50064
39,2.279106,1.979032,50.608532,73.21366,54.869793,78.383415
40,2.2745702,1.957932,50.728947,73.344765,55.209,78.638504
41,2.2691846,1.9595604,50.83885,73.37257,55.171036,78.536606
42,2.2651927,1.9778901,50.882008,73.42798,54.8758,78.54567
43,2.2569518,1.9491735,51.085617,73.64921,55.30291,78.79636
44,2.251579,1.9351429,51.155952,73.6988,55.75048,79.14602
45,2.247043,1.940735,51.281086,73.76068,55.65505,78.88221
46,2.242382,1.930222,51.33913,73.85021,55.710518,79.28788
47,2.2392786,1.9239196,51.476162,73.894394,56.01963,79.403046
48,2.2327921,1.933438,51.54931,74.02996,55.836395,79.130035
49,2.2276373,1.9276885,51.665466,74.1111,55.71851,79.32984
50,2.2236564,1.9283714,51.779472,74.13625,55.99359,79.24479
51,2.2195053,1.910132,51.855255,74.24388,56.391865,79.40177
52,2.215424,1.9112744,51.905273,74.25169,56.226025,79.49568
53,2.2093377,1.8914595,52.062782,74.36275,56.496395,79.707535
54,2.2048798,1.9061061,52.1475,74.48791,56.649616,79.38379
55,2.2004387,1.8951486,52.281624,74.53343,56.522434,79.65545
56,2.1983533,1.9033062,52.318066,74.59408,56.44981,79.54963
57,2.1936183,1.8899016,52.421402,74.64785,56.805466,79.70748
58,2.1872187,1.8892192,52.520485,74.7929,56.782852,79.70353
59,2.18285,1.881793,52.58757,74.8379,56.903374,79.9013
60,2.179702,1.8821466,52.66179,74.91657,56.691578,79.90729
61,2.1749246,1.8883291,52.80744,74.954025,56.903046,79.77564
62,2.1734293,1.8599207,52.810703,74.969795,57.295,80.121086
63,2.1679177,1.867739,52.99901,75.056984,57.151443,80.16627
64,2.161794,1.8665259,53.088085,75.19293,57.065216,79.985214
65,2.1602676,1.8528713,53.165436,75.24028,57.424873,80.220985
66,2.1542516,1.8573298,53.24098,75.33147,57.489983,80.10817
67,2.1492991,1.8475574,53.360123,75.38914,57.370922,80.44877
68,2.1464434,1.8522202,53.397926,75.457664,57.43686,80.360855
69,2.142844,1.8542491,53.505558,75.48561,57.347755,80.35457
70,2.1381993,1.8265663,53.592594,75.597725,57.914402,80.7325
71,2.1335392,1.8450922,53.67546,75.70102,57.76843,80.35056
72,2.1284668,1.8355784,53.79564,75.726845,57.862453,80.58264
73,2.1231952,1.8295197,53.91421,75.8248,57.87644,80.85038
74,2.1206245,1.8288532,53.98861,75.888664,57.88261,80.65104
75,2.116478,1.8169832,54.073425,75.986984,58.308025,80.79244
76,2.1108859,1.8195459,54.202435,76.0203,58.160168,81.00623
77,2.1074932,1.8061587,54.26104,76.07305,58.357372,80.9375
78,2.1015728,1.8081013,54.347683,76.20505,58.212116,81.13211
79,2.09827,1.7960205,54.44785,76.234634,58.633816,81.121796
80,2.0917227,1.8033493,54.604694,76.33835,58.813538,81.11213
81,2.0870652,1.796072,54.695854,76.47257,58.651695,81.02222
82,2.0827444,1.7833523,54.82088,76.532845,58.908253,81.41627
83,2.076481,1.777927,54.88406,76.60177,59.13723,81.453804
84,2.0708191,1.7707435,55.048702,76.698456,59.02134,81.429825
85,2.0661638,1.7797928,55.15016,76.79079,59.10457,81.328125
86,2.0601182,1.7723519,55.302944,76.85688,59.267105,81.63763
87,2.0524566,1.7689267,55.44151,76.99082,59.166668,81.532455
88,2.0427854,1.7528203,55.6522,77.14344,59.44693,81.785484
89,2.037662,1.739446,55.72872,77.25915,59.570812,81.9813
